#CMD# netstat -a
#TSP#  20090108-170059 
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address               Foreign Address             State      
tcp        0      0 casdlsup06:UNI532_CDJ_X     casdlsup06:47914            ESTABLISHED 
tcp        0      0 casdlsup06:UNI532_CDJ_S     casdlsup06:59697            ESTABLISHED 
tcp        0      0 localhost.local:TST540_IO_X localhost.localdomain:42809 ESTABLISHED 
tcp        0      0 localhost.local:TST540_IO_X localhost.localdomain:42810 ESTABLISHED 
tcp        0      0 localhost.local:FLS520_IO_A localhost.localdomain:39940 ESTABLISHED 
tcp        0      0 localhost.localdomain:33688 localhost.local:FLS520_IO_S ESTABLISHED 
tcp        0      0 localhost.local:TST540_IO_X localhost.localdomain:42815 ESTABLISHED 
tcp        0      0 localhost.local:TST511_IO_X localhost.localdomain:54334 ESTABLISHED 
tcp        0      0 casdlsup06:48580            casdlsup06:FLS520_IO_X      ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_X localhost.localdomain:40199 ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_X localhost.localdomain:40205 ESTABLISHED 
tcp        0      0 localhost.local:TST511_IO_X localhost.localdomain:54322 ESTABLISHED 
tcp        0      0 localhost.localdomain:44400 localhost.local:FLS520_IO_X ESTABLISHED 
tcp        0      0 casdlsup06:UNI532_CDJ_I     casdlsup06:37394            ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_X localhost.localdomain:40211 ESTABLISHED 
tcp        0      0 casdlsup06:TST530_IO_A      casdlsup06:48148            ESTABLISHED 
tcp        0      0 casdlsup06:TST530_DQM_A     casdlsup06:41492            ESTABLISHED 
tcp        0      0 localhost.local:TST511_IO_X localhost.localdomain:54313 ESTABLISHED 
tcp        0      0 casdlsup06:TST530_IO_A      casdlsup06:48150            ESTABLISHED 
tcp        0      0 casdlsup06:42491            casdlsup06:FLS520_IO_A      ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_S localhost.localdomain:43490 ESTABLISHED 
tcp        0      0 casdlsup06:59697            casdlsup06:UNI532_CDJ_S     ESTABLISHED 
tcp        0      0 localhost.localdomain:60911 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 casdlsup06:58110            casdlsup06:PRE530_IO_X      ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_X localhost.localdomain:40170 ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:60911 ESTABLISHED 
tcp        0      0 casdlsup06:48306            casdlsup06:TST530_IO_X      ESTABLISHED 
tcp        0      0 casdlsup06:48258            casdlsup06:TST530_IO_X      ESTABLISHED 
tcp        0      0 casdlsup06:48267            casdlsup06:TST530_IO_X      ESTABLISHED 
tcp        0      0 casdlsup06:48248            casdlsup06:TST530_IO_X      ESTABLISHED 
tcp        0      0 casdlsup06:48253            casdlsup06:TST530_IO_X      ESTABLISHED 
tcp        0      0 casdlsup06:48220            casdlsup06:TST530_IO_X      ESTABLISHED 
tcp        0      0 casdlsup06:48221            casdlsup06:TST530_IO_X      ESTABLISHED 
tcp        0      0 casdlsup06:48222            casdlsup06:TST530_IO_X      ESTABLISHED 
tcp        0      0 casdlsup06:FLS530_IO_A      casdlsup06:45298            ESTABLISHED 
