#CMD# ps -efw
#TSP#  20090108-170129 
UID        PID  PPID  C STIME TTY          TIME CMD
univa    13024     1  0 Jan02 ?        00:00:04 ./uxioserv TST530 A casdlsup06
root     13030     1  0 Jan02 ?        00:34:19 ./uxdqmsrv TST530 X casdlsup06
univa    13035     1  0 Jan02 ?        00:00:05 ./uxcdjsrv TST530 X casdlsup06
univa    13040     1  0 Jan02 ?        00:00:04 ./uxcdjsrv TST530 A casdlsup06
univa    13042     1  0 Jan02 ?        00:00:11 ./uxbvssrv TST530 X casdlsup06
univa    13050     1  0 Jan02 ?        00:00:04 ./uxbvssrv TST530 A casdlsup06
univa    13084     1  0 Jan02 ?        00:00:05 ./uxcal TST530 X casdlsup06
root     13098     1  0 Jan02 ?        00:03:32 ./uxord TST530 X casdlsup06
univa    13110     1  0 Jan02 ?        00:03:26 ./uxech TST530 X casdlsup06
root     13123     1  0 Jan02 ?        00:00:17 ./uxsur TST530 X casdlsup06
root     26797     1  0 Jan04 ?        00:00:00 cupsd
root      5222     1  0 Jan05 ?        00:04:24 java -jar /apps/unijob110/univiewer_server/casdlsup06/app/jars/centralserver-start.jar
root      5755     1  0 Jan05 ?        00:00:04 ./uniio UNIJOB X casdlsup06_unijob
root      5757     1  0 Jan05 ?        00:00:02 ./unicdj UNIJOB X casdlsup06_unijob
root      5759     1  0 Jan05 ?        00:00:00 ./unilan UNIJOB X casdlsup06_unijob
root      5761     1  0 Jan05 ?        00:00:01 ./unical UNIJOB X casdlsup06_unijob
univa     8031     1  0 Jan05 ?        00:05:19 ./uxioserv TST511 X casdlsup06
univa     8035     1  0 Jan05 ?        00:00:01 ./uxioserv TST511 S casdlsup06
univa     8039     1  0 Jan05 ?        00:00:01 ./uxioserv TST511 I casdlsup06
univa     8043     1  0 Jan05 ?        00:00:01 ./uxioserv TST511 A casdlsup06
univa     8089     1  0 Jan05 ?        00:00:02 ./uxcdjsrv TST511 A casdlsup06
univa     8094     1  0 Jan05 ?        00:00:02 ./uxcdjsrv TST511 S casdlsup06
univa     8095     1  0 Jan05 ?        00:00:02 ./uxcdjsrv TST511 X casdlsup06
univa     8097     1  0 Jan05 ?        00:00:02 ./uxcdjsrv TST511 I casdlsup06
univa     8130     1  0 Jan05 ?        00:00:01 ./uxcal TST511 X casdlsup06
root      8180     1  0 Jan05 ?        00:00:06 ./uxord TST511 X casdlsup06
univa     8238     1  0 Jan05 ?        00:00:22 ./uxech TST511 X casdlsup06
root      8258     1  0 Jan05 ?        00:01:21 ./uxsur TST511 X casdlsup06
root      7559  1885  0 Jan06 ?        00:00:00 sshd: zwa [priv] 
zwa       7561  7559  0 Jan06 ?        00:00:01 sshd: zwa@pts/7  
zwa       7562  7561  0 Jan06 pts/7    00:00:00 -bash
root      9201     1  0 Jan06 ?        00:00:00 ./uxdqmsrv FLS510 X casdlsup06
univa     9202     1  0 Jan06 ?        00:00:04 ./uxioserv FLS510 X casdlsup06
univa     9206     1  0 Jan06 ?        00:00:01 ./uxioserv FLS510 I casdlsup06
univa     9210     1  0 Jan06 ?        00:00:01 ./uxioserv FLS510 A casdlsup06
univa     9221     1  0 Jan06 ?        00:00:02 ./uxcdjsrv FLS510 X casdlsup06
univa     9226     1  0 Jan06 ?        00:00:01 ./uxcdjsrv FLS510 A casdlsup06
univa     9232     1  0 Jan06 ?        00:00:01 ./uxcdjsrv FLS510 I casdlsup06
univa    17115     1  0 Jan06 ?        00:00:05 ./uxioserv TST540 X casdlsup06
univa    17116     1  0 Jan06 ?        00:00:01 ./uxioserv TST540 A casdlsup06
root     17121     1  0 Jan06 ?        00:00:00 ./uxdqmsrv TST540 X casdlsup06
univa    17133     1  0 Jan06 ?        00:00:01 ./uxbvssrv TST540 X casdlsup06
univa    17137     1  0 Jan06 ?        00:00:01 ./uxbvssrv TST540 A casdlsup06
univa    17141     1  0 Jan06 ?        00:00:01 ./uxcdjsrv TST540 X casdlsup06
univa    17144     1  0 Jan06 ?        00:00:01 ./uxcdjsrv TST540 A casdlsup06
univa    17165     1  0 Jan06 ?        00:00:00 ./uxcal TST540 X casdlsup06
root     17177     1  0 Jan06 ?        00:00:00 ./uxord TST540 X casdlsup06
univa    17189     1  0 Jan06 ?        00:00:00 ./uxech TST540 X casdlsup06
root     17203     1  0 Jan06 ?        00:00:02 ./uxsur TST540 X casdlsup06
root     19627     1  0 Jan07 ?        00:00:00 ./uxdqmsrv FLS520 X casdlsup06
univa    19632     1  0 Jan07 ?        00:00:21 ./uxioserv FLS520 X casdlsup06
univa    19636     1  0 Jan07 ?        00:00:00 ./uxioserv FLS520 S casdlsup06
univa    19640     1  0 Jan07 ?        00:00:00 ./uxioserv FLS520 I casdlsup06
univa    19644     1  0 Jan07 ?        00:00:00 ./uxioserv FLS520 A casdlsup06
univa    19650     1  0 Jan07 ?        00:00:00 ./uxcdjsrv FLS520 X casdlsup06
univa    19659     1  0 Jan07 ?        00:00:00 ./uxcdjsrv FLS520 A casdlsup06
univa    19661     1  0 Jan07 ?        00:00:00 ./uxcdjsrv FLS520 I casdlsup06
univa    19662     1  0 Jan07 ?        00:00:00 /apps/du/520/FLS520/exec/uxbvssrv FLS520 X casdlsup06
univa    19665     1  0 Jan07 ?        00:00:00 /apps/du/520/FLS520/exec/uxbvssrv FLS520 S casdlsup06
univa    19670     1  0 Jan07 ?        00:00:00 /apps/du/520/FLS520/exec/uxbvssrv FLS520 I casdlsup06
univa    19672     1  0 Jan07 ?        00:00:00 /apps/du/520/FLS520/exec/uxbvssrv FLS520 A casdlsup06
univa    19684     1  0 Jan07 ?        00:00:00 ./uxcdjsrv FLS520 S casdlsup06
univa    18974     1  0 09:34 ?        00:00:09 ./uxioserv FLS530 X casdlsup06
univa    18978     1  0 09:34 ?        00:00:00 ./uxioserv FLS530 A casdlsup06
root     18982     1  0 09:34 ?        00:00:00 ./uxdqmsrv FLS530 X casdlsup06
univa    18989     1  0 09:34 ?        00:00:00 ./uxbvssrv FLS530 X casdlsup06
univa    18994     1  0 09:34 ?        00:00:00 ./uxbvssrv FLS530 A casdlsup06
univa    18998     1  0 09:34 ?        00:00:00 ./uxcdjsrv FLS530 X casdlsup06
univa    19000     1  0 09:34 ?        00:00:00 ./uxcdjsrv FLS530 A casdlsup06
root     26175  7562  0 10:35 pts/7    00:00:00 su
root     26177 26175  0 10:35 pts/7    00:00:00 bash
root     26213  1885  0 10:36 ?        00:00:00 sshd: bta [priv] 
bta      26215 26213  0 10:37 ?        00:00:00 sshd: bta@pts/4  
bta      26216 26215  0 10:37 pts/4    00:00:00 -bash
root     26247 26216  0 10:37 pts/4    00:00:00 su -
root     26249 26247  0 10:37 pts/4    00:00:00 -bash
root     26273 26249  0 10:37 pts/4    00:00:00 bash
root     26675  1885  0 10:50 ?        00:00:00 sshd: zwa [priv] 
zwa      26679 26675  0 10:50 ?        00:00:00 sshd: zwa@pts/5  
zwa      26680 26679  0 10:50 pts/5    00:00:00 -bash
root     27596  1885  0 11:21 ?        00:00:00 sshd: bta [priv] 
bta      27599 27596  0 11:21 ?        00:00:00 sshd: bta@pts/6  
bta      27600 27599  0 11:21 pts/6    00:00:00 -bash
root     27631 27600  0 11:21 pts/6    00:00:00 su -
root     27633 27631  0 11:21 pts/6    00:00:00 -bash
root     27655 27633  0 11:21 pts/6    00:00:00 bash
root      5549 26680  0 16:08 pts/5    00:00:00 su
root      5551  5549  0 16:08 pts/5    00:00:00 bash
root      9173     1  0 16:19 pts/4    00:00:00 bash
