#CMD# top -bn3
#TSP#  20090108-170153 
top - 17:01:53 up 22 days,  7:34,  5 users,  load average: 0.53, 0.32, 0.29
Tasks: 235 total,   2 running, 233 sleeping,   0 stopped,   0 zombie
Cpu(s):  6.2% us,  1.9% sy,  0.1% ni, 90.7% id,  0.5% wa,  0.0% hi,  0.7% si,  0
Mem:    969688k total,   953648k used,    16040k free,    57756k buffers
Swap:  1052248k total,      124k used,  1052124k free,   340304k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
16063 univa     15   0 12712 3180 1948 S    0  0.3   1:20.30 uxcal              
16078 root      15   0 12712 3912 2412 S    0  0.4   1:51.36 uxord              
16111 univa     15   0 12716 3168 1932 S    0  0.3   0:28.21 uxcal              
16113 root      15   0 12712 2592 1576 S    0  0.3   0:14.31 uxsur              
16127 root      16   0 12712 2876 1804 S    0  0.3 408:55.50 uxord              
16141 univa     15   0 28072  17m 1684 S    0  1.9  89:55.12 uxech              
16154 univa     15   0 12712 3164 1928 S    0  0.3   0:22.85 uxcal              
16169 root      16   0 12712 2832 1768 S    0  0.3   0:30.04 uxord              
16181 univa     15   0 12716 2620 1596 S    0  0.3   0:02.58 uxech              
16195 univa     15   0 12716 3164 1928 S    0  0.3   0:06.23 uxcal              
16208 root      16   0 12712 2836 1768 S    0  0.3   0:08.00 uxord              
16223 univa     15   0 12716 2616 1596 S    0  0.3   0:02.92 uxech              
22456 univa     15   0 96612 2064 1108 S    0  0.2   0:46.91 uxioserv           
22460 univa     15   0 45272 1744 1108 S    0  0.2   0:19.82 uxioserv           
22463 root      16   0 13760 7384 1100 S    0  0.8   0:00.15 uxdqmsrv           
22469 root      21   0  4284 1116  944 S    0  0.1   0:00.01 uxcmdsrv           
22474 univa     15   0 14900 1516  996 S    0  0.2   0:10.85 uxcdjsrv           
22475 univa     15   0 14896 1512  996 S    0  0.2   0:10.89 uxcdjsrv           
22489 univa     15   0 10412 2348 1456 S    0  0.2   0:00.02 uxcal              
22502 root      15   0 10416 2364 1412 S    0  0.2   0:00.37 uxord              
22514 univa     15   0 10416 2160 1272 S    0  0.2   0:03.72 uxech              
22526 root      15   0 10412 2296 1416 S    0  0.2   0:23.83 uxsur              
22538 root      16   0 10412 2360 1412 S    0  0.2   0:00.37 uxord              
22552 univa     15   0 10412 2348 1456 S    0  0.2   0:00.06 uxcal              
22565 univa     15   0 10412 2156 1272 S    0  0.2   0:03.85 uxech              
 5978 root      15   0     0    0    0 S    0  0.0   0:10.53 pdflush            
30572 root      15   0     0    0    0 S    0  0.0   0:05.86 pdflush            
13015 univa     15   0  133m 5256 1888 S    0  0.5   3:27.59 uxioserv           
13022 univa     16   0 20796 2380 1572 S    0  0.2   0:02.42 uxioserv           
13024 univa     15   0 52772 2808 1684 S    0  0.3   0:04.73 uxioserv           
13030 root      16   0 38284  25m 1708 S    0  2.7  34:19.70 uxdqmsrv           
13040 univa     15   0 16472 2000 1424 S    0  0.2   0:04.52 uxcdjsrv           
13042 univa     15   0 58568 9944 1496 S    0  1.0   0:11.45 uxbvssrv           
13050 univa     15   0 20528 2200 1404 S    0  0.2   0:04.59 uxbvssrv           
13084 univa     15   0 12716 3212 1976 S    0  0.3   0:05.96 uxcal              
13098 root      15   0 12712 4504 2816 S    0  0.5   3:32.40 uxord              
13110 univa     15   0 19292 9520 1836 S    0  1.0   3:26.48 uxech              
13123 root      15   0 12712 2628 1612 S    0  0.3   0:17.57 uxsur              
26797 root      16   0  9184 2024 1436 S    0  0.2   0:00.00 cupsd              
 5222 root      17   0  216m  36m  10m S    0  3.9   4:24.46 java               
 5755 root      15   0 59280 4204 2196 S    0  0.4   0:04.43 uniio              
 5757 root      16   0 16088 2724 1560 S    0  0.3   0:02.54 unicdj             
 5759 root      15   0 14392 1820 1156 S    0  0.2   0:00.41 unilan             
 5761 root      15   0 15896 2676 1888 S    0  0.3   0:01.71 unical             
 8031 univa     16   0  127m 3956 1604 S    0  0.4   5:19.16 uxioserv           
 8035 univa     15   0 15512 2056 1404 S    0  0.2   0:01.97 uxioserv           
 8039 univa     15   0 15516 2060 1404 S    0  0.2   0:01.94 uxioserv           
 8043 univa     15   0 25816 2148 1468 S    0  0.2   0:01.71 uxioserv           
 8089 univa     15   0 15604 2132 1344 S    0  0.2   0:02.55 uxcdjsrv           
 8094 univa     15   0 15828 2300 1288 S    0  0.2   0:02.48 uxcdjsrv           
 8095 univa     15   0 15388 1872 1340 S    0  0.2   0:02.63 uxcdjsrv           
 8097 univa     15   0 15828 2300 1288 S    0  0.2   0:02.58 uxcdjsrv           
 8130 univa     15   0 11252 3124 2016 S    0  0.3   0:01.69 uxcal              
 8180 root      16   0 11604 3820 2672 S    0  0.4   0:06.07 uxord              
 8238 univa     15   0 11248 2480 1564 S    0  0.3   0:22.00 uxech              
 8258 root      15   0 11252 2680 1760 S    0  0.3   1:21.66 uxsur              
 7559 root      17   0  7816 2376 1928 S    0  0.2   0:00.04 sshd               
 7561 zwa       15   0  7816 1660 1196 S    0  0.2   0:01.54 sshd               
 7562 zwa       15   0  4584 1552 1264 S    0  0.2   0:00.23 bash               
 9201 root      15   0 14356 7556 1312 S    0  0.8   0:00.03 uxdqmsrv           
 9202 univa     15   0 47676 2652 1552 S    0  0.3   0:04.17 uxioserv           
 9206 univa     15   0 15284 1804 1348 S    0  0.2   0:01.10 uxioserv           
 9210 univa     15   0 15280 1800 1348 S    0  0.2   0:01.05 uxioserv           
 9221 univa     16   0 15384 1912 1344 S    0  0.2   0:02.02 uxcdjsrv           
 9226 univa     15   0 15384 1760 1232 S    0  0.2   0:01.85 uxcdjsrv           
 9232 univa     16   0 15388 1760 1232 S    0  0.2   0:01.91 uxcdjsrv           
17115 univa     16   0  122m 4028 1868 S    0  0.4   0:05.89 uxioserv           
17116 univa     15   0 42980 2788 1660 S    0  0.3   0:01.60 uxioserv           
17121 root      15   0 59500 1460 1084 S    0  0.2   0:00.96 uxdqmsrv           
17133 univa     15   0 21032 2252 1424 S    0  0.2   0:01.65 uxbvssrv           
17137 univa     15   0 21032 2256 1424 S    0  0.2   0:01.62 uxbvssrv           
17141 univa     16   0 16324 2088 1508 S    0  0.2   0:01.68 uxcdjsrv           
17144 univa     15   0 16324 1968 1392 S    0  0.2   0:01.60 uxcdjsrv           
17165 univa     15   0 12740 3152 1944 S    0  0.3   0:00.05 uxcal              
17177 root      15   0 12736 2644 1640 S    0  0.3   0:00.03 uxord              
17189 univa     15   0 12736 2624 1608 S    0  0.3   0:00.39 uxech              
17203 root      15   0 12740 2592 1592 S    0  0.3   0:02.11 uxsur              
19627 root      16   0 14308 7560 1312 S    0  0.8   0:00.03 uxdqmsrv           
19632 univa     16   0 68300 2884 1616 S    0  0.3   0:21.97 uxioserv           
19636 univa     15   0 35856 1960 1416 S    0  0.2   0:00.80 uxioserv           
19640 univa     16   0 35856 1916 1416 S    0  0.2   0:00.80 uxioserv           
19644 univa     15   0 35856 1964 1416 S    0  0.2   0:00.76 uxioserv           
19650 univa     15   0 17008 3504 1392 S    0  0.4   0:00.97 uxcdjsrv           
19659 univa     15   0 15464 1812 1284 S    0  0.2   0:00.70 uxcdjsrv           
19661 univa     15   0 15460 1808 1284 S    0  0.2   0:00.81 uxcdjsrv           
19662 univa     15   0 18876 2028 1332 S    0  0.2   0:00.72 uxbvssrv           
19665 univa     15   0 18880 2032 1332 S    0  0.2   0:00.76 uxbvssrv           
19670 univa     15   0 18876 2028 1332 S    0  0.2   0:00.67 uxbvssrv           
19672 univa     15   0 18876 2032 1332 S    0  0.2   0:00.69 uxbvssrv           
19684 univa     15   0 15460 1812 1284 S    0  0.2   0:00.78 uxcdjsrv           
18974 univa     15   0 82820 3416 1768 S    0  0.4   0:09.80 uxioserv           
18978 univa     16   0 41288 2600 1556 S    0  0.3   0:00.20 uxioserv           
18982 root      16   0 20616 8260 1512 S    0  0.9   0:00.03 uxdqmsrv           
18989 univa     15   0 20448 2216 1424 S    0  0.2   0:00.25 uxbvssrv           
18994 univa     16   0 20448 2220 1424 S    0  0.2   0:00.17 uxbvssrv           
18998 univa     15   0 17628 3256 1484 S    0  0.3   0:00.36 uxcdjsrv           
19000 univa     15   0 16468 1956 1376 S    0  0.2   0:00.24 uxcdjsrv           
26175 root      18   0  4740 1176  944 S    0  0.1   0:00.00 su                 
26177 root      15   0  4584 1556 1264 S    0  0.2   0:00.81 bash               
26213 root      16   0  7816 2372 1916 S    0  0.2   0:00.17 sshd               
26215 bta       15   0  7816 1748 1288 S    0  0.2   0:00.69 sshd               
26216 bta       15   0  4580 1528 1236 S    0  0.2   0:00.00 bash               
26247 root      17   0  4740 1176  944 S    0  0.1   0:00.00 su                 
26249 root      16   0  4580 1488 1216 S    0  0.2   0:00.03 bash               
26273 root      15   0  4580 1536 1248 S    0  0.2   0:00.43 bash               
26675 root      16   0  7816 2376 1928 S    0  0.2   0:00.03 sshd               
26679 zwa       16   0  7816 1668 1196 S    0  0.2   0:00.78 sshd               
26680 zwa       15   0  4580 1548 1264 S    0  0.2   0:00.26 bash               
27596 root      16   0  7816 2380 1916 S    0  0.2   0:00.14 sshd               
27599 bta       15   0  7816 1752 1288 S    0  0.2   0:00.19 sshd               
27600 bta       15   0  4580 1528 1236 S    0  0.2   0:00.03 bash               
27631 root      18   0  4740 1176  944 S    0  0.1   0:00.00 su                 
27633 root      15   0  4584 1488 1216 S    0  0.2   0:00.01 bash               
27655 root      15   0  4580 1524 1248 S    0  0.2   0:00.06 bash               
 5549 root      18   0  4740 1176  944 S    0  0.1   0:00.00 su                 
 5551 root      15   0  4580 1540 1252 S    0  0.2   0:00.31 bash               
 9173 root      17   0  4580  688  388 S    0  0.1   0:00.00 bash               
14532 postfix   16   0  6152 1692 1360 S    0  0.2   0:00.00 pickup             
14855 root      16   0  7816 2364 1916 S    0  0.2   0:00.03 sshd               
14858 bta       15   0  7816 1660 1208 S    0  0.2   0:00.00 sshd               
14859 bta       15   0  4584 1532 1236 S    0  0.2   0:00.02 bash               
14891 root      17   0  4740 1180  944 S    0  0.1   0:00.00 su                 
14892 univa     15   0  4580 1528 1232 S    0  0.2   0:00.02 bash               
14910 univa     19   0  4404 1116  924 S    0  0.1   0:00.09 LoadDuEnv          
15325 univa     15   0  4776 1244 1036 S    0  0.1   0:00.00 ksh                
23327 root      25   0  5144 1784 1176 S    0  0.2   0:00.84 uxtrace            


top - 17:01:56 up 22 days,  7:34,  5 users,  load average: 0.53, 0.32, 0.29
Tasks: 235 total,   2 running, 233 sleeping,   0 stopped,   0 zombie
Cpu(s): 48.5% us, 13.5% sy,  0.0% ni, 28.7% id,  0.0% wa,  0.0% hi,  9.3% si,  0
Mem:    969688k total,   953648k used,    16040k free,    57772k buffers
Swap:  1052248k total,      124k used,  1052124k free,   340288k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
15982 univa     15   0  243m 5524 1840 S   82  0.6   2274:07 uxioserv           
16091 univa     16   0 34864  24m 1848 R   54  2.6   1681:59 uxech              
 2398 root      15   0  2700 1364  892 S    1  0.1  46:41.79 gam_server         
 2414 gdm       15   0 11712 3728 3184 S    1  0.4  14:57.46 at-spi-registry    
32206 root      24   0  224m  49m  10m S    1  5.2  20:42.40 java               
 5222 root      17   0  216m  36m  10m S    1  3.9   4:24.48 java               
 9174 root      19   0 1186m 104m  11m S    1 11.1   0:20.40 java               
 1745 root      15   0  1816  456  388 S    0  0.0  12:58.11 hidd               
 2409 gdm       15   0 25796  13m 8644 S    0  1.4   3:03.19 gdmgreeter         
 2432 root     -51   0 10124 5820 4344 S    0  0.6   7:23.37 artsd              
26883 root      16   0  2260 1096  784 R    0  0.1   0:00.05 top                
